NAME,MAX_HP,ATTACK,DEFENCE,SCORE,LOCATION(S),TATTLE
Dark Longator,30,4,0,800,Flopside Pit of 100 Trials (Rooms 23 and 88),It’s a Dark Longator. They live in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 4. It stretches itself out to attack you... They like to attack right after you land a jump and can’t get away...
Dark Ruff Puff,30,6,0,1000,"Flopside Pit of 100 Trials (Rooms 25, 27, and 31)",It’s a Dark Ruff Puff. They live in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 6. It throws dark lightning at anything in its way... That dark lightning could fry nearly anything...
Dark Dark Boo,20,4,0,1000,"Flopside Pit of 100 Trials (Rooms 26, 29 and 39)","It’s a Dark Dark Boo. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 4. These things appear out of nowhere... To beat these Boos, wait until they appear and then whale on them with Cudge..."
Dark Shlurp,?? (3 hits),4,??,1000,"Flopside Pit of 100 Trials (Rooms 31, 42 and 45)","It’s a Dark Shlurp. They live in the Flopside Pit of 100 Trials... Max HP is ??. Attack is 4. They are very similar to other Shlurps... It has tough skin, but you can always feed it a bomb..."
Dark Sproing-Oing,16,4,0,400,Flopside Pit of 100 Trials (Rooms 32 and 44),"It's a Dark Sproing-Oing. They live in the Flopside Pit of 100 Trials... Max HP is 16. Attack is 4. If you hurt it, it splits into smaller versions of itself... Hit it hard enough, though, and it will disappear..."
Dark Mini-Sproing,4,2,0,400,Flopside Pit of 100 Trials (Rooms 32 and 44),"It's a Dark Sproing-Oing. They live in the Flopside Pit of 100 Trials... Max HP is 4. Attack is 2. If you hurt it, it splits into smaller versions of itself... Hit it hard enough, though, and it will disappear..."
Dark Choppa,15,5,0,1200,"Flopside Pit of 100 Trials (Rooms 33, 43 and 74)",It’s a Dark Choppa. They dwell in the Flopside Pit of 100 Trials... Max HP is 15. Attack is 5. They can disappear and reappear somewhere else... Just try to attack it as much as you can when it stops...
Dark Boomboxer,32,8,0,1000,"Flopside Pit of 100 Trials (Rooms 34, 36 and 43)","It's a Dark Boomboxer. They live in the Flopside Pit of 100 Trials... Max HP is 32. Attack is 8. It blasts high-powered sound at you... The sound travels fast and through walls, so flip to avoid it if you need to... But their own loud music makes them slightly loopy..."
Dark Growmeba,20,4,0,500,Flopside Pit of 100 Trials (Rooms 35 and 37),"It’s a Dark Growmeba. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 4. It can clone itself over and over again... Defeat the primary one to make the clones disappear... Or, you could use an item to defeat all of them at once..."
Dark Megabite,8,4,?? (reduces all damage to 1),1600,"Flopside Pit of 100 Trials (Rooms 39, 69 & 96)","That’s a Dark Megabite. They dwell in the Flopside Pit of 100 Trials... Max HP is 8. Attack is 4. They always take just 1 damage. They are tough, so if you want to defeat one, watch your remaining time... Just hope they don’t have the key..."
Dark Striker,20,6,3,800,"Flopside Pit of 100 Trials (Rooms 41, 49, 59 and 87)","That's a Dark Striker. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 6. Defense is 3. It will kick shells at you at high speed... Shells kicked from above will slide down to you, so be careful... They must dream of leaving the pit and going pro..."
Dark Hammer Bro,20,4,3,1200,"Flopside Pit of 100 Trials (Rooms 46, 66, 93 and 99)","That’s a Dark Hammer Bro. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 4. Defense is 3. Those hammers even go through walls... Watch out in tight spots... If you’re below them, it’ll be raining hammers, so try to climb above..."
Dark Boomerang Bro,20,6,3,1200,"Flopside Pit of 100 Trials (Rooms 47, 56, 93 and 99)","That’s a Dark Boomerang Bro. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 6. Defense is 3. He will throw boomerangs at you all day... It’s hard to approach them from below, so be careful with your timing..."
Dark Fire Bro,20,6,3,1200,"Flopside Pit of 100 Trials (Rooms 48, 65, 93 and 99)",That’s a Dark Fire Bro. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 6. Defense is 3. Their fireballs bounce on the floor... They may bounce down to you if you are below them. Those fireballs must come in handy when they get lost in the dark...
Dark Magikoopa,20,6,0,1000,"Flopside Pit of 100 Trials (Rooms 49, 59, 61, 62, 63, 82 and 92)","That’s a Dark Magikoopa. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 6. They attack with magic. Their spells travel through walls, so they can be hard to fight in close quarters... They have no Defense, so take them out quickly..."
Dark Muth,255,10,0,2550,Flopside Pit of 100 Trials (Rooms 51 and 98),"That’s a Dark Muth. They dwell in the Flopside Pit of 100 Trials... Max HP is 255. Attack is 10. It will furiously charge at you when you approach it... But it’s huge and quite predictable, so it shouldn’t be hard to hit..."
Dark Chomp,10,4,10,1200,"Flopside Pit of 100 Trials (Rooms 52, 61, and 65)","It’s a Dark Chomp. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. Defense is 10. Flames won’t hurt it at all... Dark Chomps have very high Defense, so use items or Pixls..."
Dark Clubba,60,6,0,100,"Flopside Pit of 100 Trials (Rooms 53, 67 and 68)","That’s a Dark Clubba. They live in the Flopside Pit of 100 Trials… Max HP is 60. Attack is 6. They are known for their remarkably high HP... They fall asleep when nobody is around, just like other Clubbas... Try to stomp them before they wake up..."
Dark Tileoid,25,4,0,800,"Flopside Pit of 100 Trials (Rooms 57, 63, and 77)","That's a Dark Tileoid. They live in the Flopside Pit of 100 Trials... Max HP is 25. Attack is 4. It can cling to walls and ceilings... They can sneak up on you, so watch those walls..."
Dark Pigarithm,?? (3 hits),6,0,0,Flopside Pit of 100 Trials (Rooms 62 and 75),It's a Dark Pigarithm. They live in the Flopside Pit of 100 Trials... Max HP is ??. Attack is 6. Three stomps should do it in. It gets smaller and faster every time you stomp it... It's hard to get a jump on them when the ceilings are so low... It might be better to use Thoreau to toss it...
Dark Eeligon,30,4,0,1000,Flopside Pit of 100 Trials (Rooms 62 and 74),"That’s a Dark Eeligon. They live in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 4. As you attack it, it will lose parts of itself... Its weak spot is its head. Focus your attacks there to defeat it..."
Dark Ninjoe,20,5,0,1000,"Flopside Pit of 100 Trials (Rooms 64, 69, 77 and 78)",That's a Dark Ninjoe. They dwell in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 5. It hops around wildly and throws ninja stars... They are fast... Very fast... Try attacking them from a distance. Dark Ninjoes are shrouded in secrecy. Regular Ninjoes don't even know about them...
Dark Koopatrol,30,6,8,1600,"Flopside Pit of 100 Trials (Rooms 68, 72, 76, 86 and 99)",That's a Dark Koopatrol. They live in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 6. Defense is 8. Don't stomp on those spikes... They like to charge and tackle. You can always flip to evade their charge...
Dark Jawbus,30,8,0,1000,"Flopside Pit of 100 Trials (Rooms 71, 84, and 96)",It’s a Dark Jawbus. They live in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 8. You can only hurt them by hitting that round spot... Get behind them if you want to attack that spot easily...
Dark Barribad,12,8,0,1200,Flopside Pit of 100 Trials (Room 73),"It’s a Dark Barribad. They live in the Flopside Pit of 100 Trials... Max HP is 12. Attack is 8. It creates an impenetrable barrier around itself... You can’t break the barrier, but you can beat them with Bowser’s fire..."
Dark Dayzee,99,20,0,9990,Flopside Pit of 100 Trials (Rooms 75 and 94),"It’s a Dark Dayzee. They live in the Flopside Pit of 100 Trials... Max HP is 99. Attack is 20. They sing to attack... Most Dayzees look happy, but the dark ones are actually scowling... But you can’t tell because they’re cloaked in shadow... Too bad..."
Dark Skellobit,30,4,4,1000,"Flopside Pit of 100 Trials (Rooms 79, 81, 83 and 97)","It's a Dark Skellobit. They dwell in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 4. Defense is 4. Don't stomp on that spear... It only attacks with its spear, so use Thoreau to toss it... But the low ceilings may make it hard to throw them very far..."
Dark Spiky Skellobit,30,4,4,1000,"Flopside Pit of 100 Trials (Rooms 79, 81, 83 and 97)","It's a Dark Spiky Skellobit. They dwell in the Flopside Pit of 100 Trials... Max HP is 30. Attack is 4. Defense is 4. Don't stomp on that spear... They have spikes, so you can't throw or stomp them... Try using Bowser's fire..."
Dark Magiblot,40,10,0,1600,"Flopside Pit of 100 Trials (Rooms 85, 89 and 94)","That's a Dark Magiblot. They dwell in the Flopside Pit of 100 Trials... Max HP is 40. Attack is 10. They phase in and out as they hurl spells. Attack them as soon as they appear. Some say they live between dimensions, but nobody knows for sure..."
Dark Headbonk Goomba,10,4,0,200,Flopside Pit of 100 Trials (Room 95),"That’s a Dark Headbonk Goomba. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. They will try to hop up and bonk you... They look almost exactly like your garden-variety Dark Goomba, so be careful..."
Dark Luigi,100,10,0,9990,Flopside Pit of 100 Trials (Room 100),"That's Dark Luigi. He lurks in the Flopside Pit of 100 Trials... Max HP is 100. Attack is 10. He has the same incredible jumping ability as Luigi. Watch out for that super jump of his when you go to stomp him. But his jump could be an interesting opportunity for an attack as well... After all, he's not the real Luigi...He's just a bad copy..."
Dark Bowser,100,20,4,9990,Flopside Pit of 100 Trials (Room 100),"That's Dark Bowser. This fake Bowser rules the Flopside Pit of 100 Trials... Max HP is 100. Attack is 20. Defense is 4. He has spikes, so you can't stomp on him... He has high defense, so you'll need to use Boomer and Cudge... Watch out for his ferocious fire attack... But after all, he's not the real Bowser... He's just a bad copy..."
Dark Peach,100,10,0,9990,Flopside Pit of 100 Trials (Room 100),"That's Dark Peach, a phony Peach that dwells in the Flopside Pit of 100 Trials... Max HP is 100. Attack is 10. This Peach uses her parasol just like the original. And if she uses it in midair, she might mess up the timing of your attack... But that might also give you an opportunity to attack... After all, she's not the real Peach... She's just a bad copy..."
Dark Mario,100,10,0,9990,Flopside Pit of 100 Trials (Room 100),"That's Dark Mario. This fake Mario lives in the Flopside Pit of 100 Trials... Max HP is 100. Attack is 10. He has high attack power and jumps and hammers well... If you don't plan your stomp, he might hit you with his hammer. You share weaknesses, so if you can exploit that, you'll win... After all, he's not the real Mario... He's just a bad copy..."
Dimentio (unused),50,2,0,5000,Castle Bleck Interior (8-3),"That's Dimentio. He's a weird dimensional magician who works for Count Bleck... Max HP is 50 and Attack is 2. Dimentio can flip between dimensions... He can also clone himself. Attacking his double won't do anything to him... Hit the real one, and the double will disappear. Then, he can't clone again for a while..."
